127.0.0.1 - - [04/Feb/2021:21:42:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/ HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 200 2080453
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 200 2113218
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 200 9199663
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 200 9359281
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:42:57 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:20 +0530] "GET /JavaDemo/ HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:20 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:20 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:20 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:20 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:49:21 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [04/Feb/2021:21:55:07 +0530] "GET /JavaDemo/ HTTP/1.1" 200 882
